"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 15:52:50 GMT 2024","Sat Jun 15 15:52:52 GMT 2024","2178","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 15:52:43 GMT 2024","Sat Jun 15 15:52:49 GMT 2024","6056","CrossBrowser","ChromeTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sat Jun 15 15:53:06 GMT 2024","Sat Jun 15 15:53:09 GMT 2024","2112","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"unknown","Sat Jun 15 15:52:22 GMT 2024","Sat Jun 15 15:52:22 GMT 2024","2","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testUser","testUser",""
"passed","Sat Jun 15 15:52:52 GMT 2024","Sat Jun 15 15:52:54 GMT 2024","1991","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 15:53:07 GMT 2024","Sat Jun 15 15:53:10 GMT 2024","3427","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 15:52:43 GMT 2024","Sat Jun 15 15:52:48 GMT 2024","4389","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 15:53:07 GMT 2024","Sat Jun 15 15:53:13 GMT 2024","6709","CrossBrowser","FirefoxTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sat Jun 15 15:52:43 GMT 2024","Sat Jun 15 15:52:47 GMT 2024","3491","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Sat Jun 15 15:52:50 GMT 2024","Sat Jun 15 15:52:52 GMT 2024","1487","CrossBrowser","ChromiumTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the base URL and title of the application are correct and as expected."
"passed","Sat Jun 15 15:52:22 GMT 2024","Sat Jun 15 15:52:22 GMT 2024","12","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testUserHappyPath","testUserHappyPath",""
"passed","Sat Jun 15 15:52:50 GMT 2024","Sat Jun 15 15:52:54 GMT 2024","3529","CrossBrowser","ChromiumTest","com.lumatest.tests.ProductPageTest","com.lumatest.tests.ProductPageTest","testProduct","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Sat Jun 15 15:53:13 GMT 2024","Sat Jun 15 15:53:16 GMT 2024","2411","CrossBrowser","FirefoxTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 15 15:52:48 GMT 2024","Sat Jun 15 15:52:50 GMT 2024","1836","CrossBrowser","ChromeTest","com.lumatest.tests.NavigationTest","com.lumatest.tests.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
